length_numeric,estimated_mass_kg,metabolic_demand,habitat_modification_potential,specialization_index,region_diversity_score,temporal_span,extinction_proximity,trophic_impact,diet,type,geological_period,lived_in,start_time_mya,end_time_mya,mid_time_mya,ecosystem_impact_score,name,impact_category
8.5,21064.313720128648,21064.313720128648,18.700000000000003,3,0.9354838709677419,7.0,-3.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,Mongolia,75.0,68.0,71.5,10.66040974300792,tarchia,Low Impact
5.0,5590.169943749474,5590.169943749474,7.5,2,0.6451612903225806,19.0,0.0,2.0,herbivorous,euornithopod,Late Cretaceous,Spain,84.0,65.0,74.5,4.3974188254367474,telmatosaurus,Low Impact
7.0,12964.181424216495,12964.181424216495,10.5,2,1.0,10.0,-45.0,2.0,herbivorous,euornithopod,Early Cretaceous,USA,120.0,110.0,115.0,5.806807089567551,tenontosaurus,Low Impact
2.5,988.2117688026185,1185.8541225631423,7.5,2,0.8709677419354839,22.0,-140.0,2.5,omnivorous,sauropod,Late Triassic,United Kingdom,227.0,205.0,216.0,14.150236004486239,thecodontosaurus,Low Impact
3.5,2291.7651493990393,2291.7651493990393,5.25,2,1.0,9.0,-2.0,2.0,herbivorous,euornithopod,Late Cretaceous,USA,76.0,67.0,71.5,3.463576498435296,thescelosaurus,Low Impact
7.5,15404.696929832795,15404.696929832795,15.0,3,1.0,5.0,0.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,70.0,65.0,67.5,9.111755666820212,torosaurus,Low Impact
10.0,31622.776601683792,47434.16490252569,25.0,4,1.0,11.0,-79.0,3.0,carnivorous,large theropod,Late Jurassic,USA,155.0,144.0,149.5,35.560287406445354,torvosaurus,Moderate Impact
9.0,24300.0,24300.0,18.0,3,1.0,2.0,-1.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,68.0,66.0,67.0,10.605110189651192,triceratops,Low Impact
2.0,565.685424949238,848.5281374238571,2.0,3,1.0,9.0,0.0,3.0,carnivorous,small theropod,Late Cretaceous,USA,74.0,65.0,69.5,23.958811994815942,troodon,Low Impact
5.0,5590.169943749474,5590.169943749474,11.0,3,0.9354838709677419,15.0,-19.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,Mongolia,99.0,84.0,91.5,7.233536566089094,tsagantegia,Low Impact
12.0,49883.06325798367,49883.06325798367,18.0,2,0.967741935483871,13.0,-6.0,2.0,herbivorous,euornithopod,Late Cretaceous,China,84.0,71.0,77.5,10.350476641688733,tsintaosaurus,Low Impact
7.0,12964.181424216495,12964.181424216495,15.400000000000002,3,0.967741935483871,3.0,-89.0,2.0,herbivorous,armoured dinosaur,Late Jurassic,China,157.0,154.0,155.5,9.11070525981417,tuojiangosaurus,Low Impact
1.4,231.9103274975049,231.9103274975049,2.0999999999999996,2,0.9354838709677419,3.0,-7.0,2.0,herbivorous,euornithopod,Late Cretaceous,Mongolia,75.0,72.0,73.5,2.29737878200115,tylocephale,Low Impact
12.0,49883.06325798367,74824.59488697551,30.0,4,1.0,2.0,-1.0,3.0,carnivorous,large theropod,Late Cretaceous,USA,68.0,66.0,67.0,38.55374744986121,tyrannosaurus,Moderate Impact
5.25,6315.362129611018,6315.362129611018,10.5,3,0.9354838709677419,6.0,-10.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Mongolia,81.0,75.0,78.0,7.10649842769014,udanoceratops,Low Impact
2.4,892.3353629661888,1338.5030444492832,2.4,3,0.9032258064516129,8.0,-21.0,3.0,carnivorous,small theropod,Late Cretaceous,Argentina,94.0,86.0,90.0,24.11612679188531,unenlagia,Low Impact
1.0,100.0,150.0,1.0,3,0.25806451612903225,0.0,-30.0,3.0,carnivorous,small theropod,Late Cretaceous,Uzbekistan,95.0,95.0,95.0,23.59094783183537,urbacodon,Low Impact
6.0,8818.163074019441,13227.244611029162,15.0,4,1.0,12.0,-35.0,3.0,carnivorous,large theropod,Early Cretaceous,USA,112.0,100.0,106.0,30.566981857398645,utahraptor,Moderate Impact
3.0,1558.8457268119896,1558.8457268119896,4.5,2,0.8709677419354839,21.0,-56.0,2.0,herbivorous,euornithopod,Early Cretaceous,United Kingdom,142.0,121.0,131.5,3.1725270414177027,valdosaurus,Low Impact
1.8,434.69161482595916,652.0374222389387,1.8,3,0.9354838709677419,4.0,-5.0,3.0,carnivorous,small theropod,Late Cretaceous,Mongolia,74.0,70.0,72.0,23.8824967371154,velociraptor,Low Impact
6.5,10771.678722464758,10771.678722464758,19.5,3,0.45161290322580644,3.0,-137.0,2.0,herbivorous,sauropod,Early Jurassic,Zimbabwe,205.0,202.0,203.5,10.359620535932972,vulcanodon,Low Impact
3.0,1558.8457268119896,1558.8457268119896,4.5,2,0.967741935483871,10.0,-94.0,2.0,herbivorous,euornithopod,Mid Jurassic,China,169.0,159.0,164.0,3.1725270414177027,yandusaurus,Low Impact
10.0,31622.776601683792,47434.16490252569,25.0,4,0.967741935483871,16.0,-79.0,3.0,carnivorous,large theropod,Late Jurassic,China,160.0,144.0,152.0,35.560287406445354,yangchuanosaurus,Moderate Impact
9.0,24300.0,24300.0,27.0,3,0.967741935483871,5.0,-125.0,2.0,herbivorous,sauropod,Early Jurassic,China,195.0,190.0,192.5,13.612270094185796,yimenosaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,11.0,3,0.967741935483871,17.0,-77.0,2.0,herbivorous,armoured dinosaur,Late Jurassic,China,159.0,142.0,150.5,7.233536566089094,yingshanosaurus,Low Impact
1.2,157.74409656148782,157.74409656148782,2.4,3,0.967741935483871,5.0,-89.0,2.0,herbivorous,ceratopsian,Mid Jurassic,China,159.0,154.0,156.5,4.060190576780287,yinlong,Low Impact
17.0,119157.75258035037,119157.75258035037,51.0,3,0.967741935483871,21.0,-94.0,2.0,herbivorous,sauropod,Mid Jurassic,China,180.0,159.0,169.5,26.866947624212717,yuanmousaurus,Low Impact
7.0,12964.181424216495,15557.017709059794,21.0,2,0.967741935483871,15.0,-125.0,2.5,omnivorous,sauropod,Early Jurassic,China,205.0,190.0,197.5,19.404603609145372,yunnanosaurus,Low Impact
3.0,1558.8457268119896,1558.8457268119896,4.5,2,0.25806451612903225,0.0,-4.0,2.0,herbivorous,euornithopod,Late Cretaceous,Romania,69.0,69.0,69.0,3.1725270414177027,zalmoxes,Low Impact
1.8,434.69161482595916,434.69161482595916,2.7,2,1.0,10.0,-45.0,2.0,herbivorous,euornithopod,Early Cretaceous,USA,120.0,110.0,115.0,2.5090484314325994,zephyrosaurus,Low Impact
5.25,6315.362129611018,6315.362129611018,10.5,3,1.0,5.0,-24.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,94.0,89.0,91.5,7.10649842769014,zuniceratops,Low Impact
